Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
Help Deliver The Goods,Herbert Paus,(American),(Male),Lithograph,"40 x 27"" (101.6 x 68.6cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8931,101.6,68.6
That Liberty Shall Not Perish From the Earth - Buy Liberty Bonds,Joseph Pennell,(American),(Male),Lithograph,"33 x 22"" (83.8 x 55.9cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8932,83.8,55.9
After a Zeppelin Raid in London,Louis Raemaekers,(Dutch),(Male),Lithograph,"19 x 12"" (48.3 x 30.5cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8933,48.3,30.5
Civilians - The Jewish Welfare Board,S. H. Riesenberg,(American),(),Lithograph,"30 x 22"" (76.2 x 55.9cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8934,76.2,55.9
U.S. Marines,S. H. Riesenberg,(American),(),"Poster, gouache-litho","42 x 28"" (106.7 x 71.1cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,106.7,71.1
Help the Red Cross,Herman Roeg,(American),(Male),Lithograph,"28 x 19"" (71.1 x 48.3cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8936,71.1,48.3
Sous le drapeau pour le victoire,S. Scott,(French),(),"Poster, gouache-litho","47 x 31"" (119.4 x 78.7cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,119.4,78.7
"It's Up to You--Protect the Nation's Honor, Enlist Now",Schneck,(American),(),Lithograph,"42 x 28"" (106.7 x 71.1cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8938,106.7,71.1
"""Hey Fellows!"" Your Money Brings the Book We Need When We Want It, American Library Association",John E. Sheridan,(American),(Male),Gouache-lithograph,"30 x 20"" (76.2 x 50.8 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8939,76.2,50.8
"Be Patriotic, Sign Your Country's Pledge to Save The Flood, U.S. Food Administration",Paul Stahr,(American),(Male),Gouache-lithograph,"29 x 21"" (73.7 x 53.3 cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8940,73.7,53.3
Nous Voulons Vivre Aidez-Nous!,Stephany,(French),(),Lithograph,"31 x 23"" (78.7 x 58.4cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8941,78.7,58.4
For Every Fighter a Woman Worker. Care For Her Through the YWCA,Adolph Treidler,(American),(Male),Lithograph,"40 x 30"" (101.6 x 76.2cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8942,101.6,76.2
Back Our Girls Over There - United War Work Campaign,G. F. Underwood,(American),(),Lithograph,"28 x 21"" (71.1 x 53.3cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8943,71.1,53.3
"The Harriman National Bank Urges Faith, Courage, and Patience",M. Waddell,(American),(),Lithograph,"27 x 20"" (68.6 x 50.8cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8944,68.6,50.8
Gee!! I Wish I Were a Man,Howard Chandler Christy,(American),(Male),Lithograph,"40 x 27""",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8945,101.6,68.6
4 Reasons for Buying Victory Bonds,Unknown Artist,(Nationality Unknown),(),"Poster, gouache-lithograph","23 1/2 x 18"" (59.7 x 45.7cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,59.7,45.7
Keep All Canadians Busy,Unknown Artist,(Nationality Unknown),(),"Poster, gouache-lithograph","24 x 18"" (61 x 45.7cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,61,45.7
Victory Bonds Will Help Stop This - Kultur Vs. Humanity,Unknown Artist,(Nationality Unknown),(),"Poster, gouache-lithograph","36 x 24"" (91.4 x 61cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,91.4,61
Oh Boy! That's The Girl,George Mather Richards,(American),(Male),Lithograph,"40 x 30"" (101.6 x 76.2cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8949,101.6,76.2
These New Yorkers Volunteered Last Week--Is Your Name on This List?,Unknown Artist,(Nationality Unknown),(),Lithograph,"21 1/2 x 33"" (54.6 x 83.8cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,http://www.moma.org/collection/works/8950,54.6,83.8
They Thought We Couldn't Fight,Unknown Artist,(Nationality Unknown),(),"Poster, gouache-litho","19 x 19"" (48.3 x 48.3cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,48.3,48.3
U.S. Navy,Unknown Artist,(Nationality Unknown),(),"Poster, gouache-litho","40 x 27"" (101.6 x 68.6cm)",Gift of Abby Aldrich Rockefeller,Design,4/5/40,,101.6,68.6
