Title,Artist,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,DateAcquired,URL,Height (cm),Width (cm)
Up-Rising,Arthur B. Davies,(American),(Male),Etching with aquatint,"plate: 5 7/8 x 8 7/8"" (15 x 22.6cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74074,15,22.6
Amber Garden,Arthur B. Davies,(American),(Male),Etching and aquatint with roulette,"plate: 11 7/8 x 7 7/8"" (30.1 x 20cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74080,30.1,20
Antique Mirror,Arthur B. Davies,(American),(Male),Etching with aquatint,"plate: 8 15/16 x 5 7/8"" (22.7 x 15cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74086,22.7,15
Confidences,Arthur B. Davies,(American),(Male),Lithograph,"composition: 8 15/16 x 6 3/8"" (22.7 x 16.2cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74092,22.7,16.2
Figures of Earth,Arthur B. Davies,(American),(Male),Lithograph,"composition: 12 7/8 x 7 15/16"" (32.7 x 20.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74101,32.7,20.1
Free of Clouds,Arthur B. Davies,(American),(Male),Lithograph,"composition: 15 1/4 x 11"" (38.8 x 27.9cm); plate: 15 13/16 x 11"" (40.2 x 27.9cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74107,38.8,27.9
Moonlight on the Grassy Bank,Arthur B. Davies,(American),(Male),"Etching, aquatint, and drypoint with roulette","plate: 11 7/8 x 7 7/8"" (30.3 x 19.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74112,30.3,19.9
Orchard of Bounties,Arthur B. Davies,(American),(Male),Lithograph,"composition: 15 1/4 x 10 3/8"" (38.7 x 26.4cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74128,38.7,26.4
Pompeian Veil,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 11 15/16 x 4 11/16"" (30.3 x 11.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74146,30.3,11.9
Pompeian Veil,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 11 15/16 x 4 3/4"" (30.3 x 12.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74152,30.3,12
Potentia,Arthur B. Davies,(American),(Male),Etching with aquatint,"plate: 4 1/4 x 10 3/16"" (10.8 x 25.8cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74158,10.8,25.8
Profile,Arthur B. Davies,(American),(Male),"Etching, drypoint, and aquatint","plate: 4 1/4 x 2 11/16"" (10.8 x 6.9cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74163,10.8,6.9
Queen of Dusk,Arthur B. Davies,(American),(Male),Lithograph,"composition: 8 7/16 x 6 3/16"" (21.4 x 15.7cm); plate: 8 13/16 x 6 3/16"" (22.4 x 15.7cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74169,21.4,15.7
Stir of Shadowed Melodies,Arthur B. Davies,(American),(Male),Lithograph,"composition: 15 1/16 x 9 1/4"" (38.2 x 23.5cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74174,38.2,23.5
Three Acrobats,Arthur B. Davies,(American),(Male),Lithograph,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74179,,
Tragic Figure,Arthur B. Davies,(American),(Male),Etching with aquatint,"plate: 5 7/8 x 8 7/8"" (15 x 22.5cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74185,15,22.5
Valkyries,Arthur B. Davies,(American),(Male),Etching with aquatint,"plate: 7 15/16 x 11 13/16"" (20.1 x 30cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74199,20.1,30
Angled Beauty,Arthur B. Davies,(American),(Male),Etching with aquatint,"plate: 7 15/16 x 11 7/8"" (20.1 x 30.1cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74206,20.1,30.1
Bird Men,Arthur B. Davies,(American),(Male),Lithograph,"composition: 15 7/8 x 11"" (40.3 x 28cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74212,40.3,28
Dawn,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 11 15/16 x 7 15/16"" (30.3 x 20.1cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74231,30.3,20.1
Flowers,Arthur B. Davies,(American),(Male),Lithograph,"composition: 8 7/8 x 15 7/8"" (22.5 x 40.4cm); plate: 10 5/8 x 15 7/8"" (27 x 40.4cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74238,22.5,40.4
Harvest Festival,Arthur B. Davies,(American),(Male),Lithograph,"plate: 15 7/8 x 10 7/8"" (40.3 x 27.7cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74244,40.3,27.7
Maenads,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 7 15/16 x 10 3/4"" (20.1 x 27.3cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74250,20.1,27.3
Passing of Dreams,Arthur B. Davies,(American),(Male),Lithograph,"composition: 12 5/8 x 13 11/16"" (32.1 x 34.7cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74255,32.1,34.7
Persephone,Arthur B. Davies,(American),(Male),Lithograph,"composition: 10 9/16 x 7 5/8"" (26.9 x 19.3cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74261,26.9,19.3
Poppy,Arthur B. Davies,(American),(Male),Lithograph,"composition: 10 13/16 x 15 3/4"" (27.5 x 40cm); plate: 10 13/16 x 15 15/16"" (27.5 x 40.5cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74267,27.5,40
Ships,Arthur B. Davies,(American),(Male),Lithograph,"composition: 15 11/16 x 10 3/8"" (39.8 x 26.3cm); plate: 15 15/16 x 10 13/16"" (40.5 x 27.4cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74273,39.8,26.3
Toil of Three,Arthur B. Davies,(American),(Male),Etching and aquatint with roulette,"plate: 6 11/16 x 3 3/8"" (17 x 8.6cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74279,17,8.6
The Urn,Arthur B. Davies,(American),(Male),Lithograph,"composition: 10 1/16 x 12 1/16"" (25.6 x 30.6cm); plate: 10 15/16 x 15 7/8"" (27.8 x 40.4cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74285,25.6,30.6
Whirl of Dance,Arthur B. Davies,(American),(Male),Drypoint,"plate: 5 1/16 x 10 3/8"" (12.9 x 26.3cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74291,12.9,26.3
Iris,Arthur B. Davies,(American),(Male),Drypoint,"plate: 8 3/4 x 6 7/8"" (22.3 x 17.4cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74297,22.3,17.4
Iris,Arthur B. Davies,(American),(Male),"Drypoint, aquatint, and roulette","plate: 8 3/4 x 6 15/16"" (22.3 x 17.7cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74303,22.3,17.7
The Temple,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 11 15/16 x 7 7/8"" (30.3 x 20cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74309,30.3,20
Trinket,Arthur B. Davies,(American),(Male),Lithograph,"composition: 15 7/8 x 10 15/16"" (40.4 x 27.8cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74314,40.4,27.8
Against Green,Arthur B. Davies,(American),(Male),Aquatint and etching,"composition: 7 15/16 x 11 3/4"" (20.1 x 29.9 cm); sheet: 10 11/16 x 14 7/16"" (27.1 x 36.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74319,20.1,29.9
Against Green,Arthur B. Davies,(American),(Male),Aquatint and etching,"composition: 7 15/16 x 11 7/8"" (20.1 x 30.2 cm); sheet: 10 1/16 x 15 3/8"" (25.6 x 39 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,20.1,30.2
Enchanted Stream,Arthur B. Davies,(American),(Male),Lithograph,"composition: 8 7/8 x 14 1/8"" (22.5 x 35.8cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74328,22.5,35.8
Mohawk River Bank,Arthur B. Davies,(American),(Male),Lithograph,"composition: 11 9/16 x 18 3/4"" (20.4 x 47.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74333,20.4,47.8
"Grassy Point, Hudson River",Arthur B. Davies,(American),(Male),Lithograph,"composition: 4 15/16 x 17 11/16"" (12.5 x 44.9cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74338,12.5,44.9
Hickory Grove,Arthur B. Davies,(American),(Male),Lithograph,"composition: 10 1/16 x 17 1/16"" (25.6 x 43.3cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74343,25.6,43.3
Old Stone Quarry,Arthur B. Davies,(American),(Male),Lithograph,"composition: 10 7/8 x 16 15/16"" (27.7 x 43cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74348,27.7,43
In Provence,Arthur B. Davies,(American),(Male),Lithograph,"composition: 8 7/16 x 13 7/8"" (21.5 x 35.2 cm); sheet: 15 3/8 x 21 7/8"" (39 x 55.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74353,21.5,35.2
Rock Pastures,Arthur B. Davies,(American),(Male),Lithograph,"composition: 11 11/16 x 18 3/16"" (29.7 x 46.2cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74361,29.7,46.2
Sea Maidens,Arthur B. Davies,(American),(Male),Aquatint and etching,"plate: 7 13/16 x 11 7/8"" (19.9 x 30.2cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74364,19.9,30.2
Shore of Rockland Lake,Arthur B. Davies,(American),(Male),Lithograph,"composition: 10 3/8 x 16 7/16"" (26.3 x 41.8cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74368,26.3,41.8
Valley of West Canada Creek,Arthur B. Davies,(American),(Male),Lithograph,"composition: 11 3/16 x 18 5/8"" (28.4 x 47.3cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74372,28.4,47.3
Spring Valley,Arthur B. Davies,(American),(Male),Lithograph,"composition: 12 x 16 1/8"" (30.6 x 41.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74376,30.6,41
Figure in Glass,Arthur B. Davies,(American),(Male),Drypoint,"plate: 6 3/16 x 5 9/16"" (15.8 x 14.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74380,15.8,14.2
Pleiades,Arthur B. Davies,(American),(Male),"Etching, aquatint, and drypoint with roulette","plate: 6 x 7 7/8"" (15.2 x 20.0 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74384,15.2,20
Triad,Arthur B. Davies,(American),(Male),Drypoint,"plate: 4 3/4 í_3 9/16"" (12 í_9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74387,12,9
Brothers,Arthur B. Davies,(American),(Male),Etching with aquatint and roulette,"plate: 8 13/16 x 5 7/8"" (22.4 x 15cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74391,22.4,15
By the Sea,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 8 7/8 x 5 7/8"" (22.6 x 14.9cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74395,22.6,14.9
Clouds,Arthur B. Davies,(American),(Male),Lithograph,"composition: 6 15/16 x 12 3/16"" (17.6 x 31cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74399,17.6,31
Doorway to Illusion,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 7 11/16 í_6 9/16"" (19.5 í_16.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74402,19.5,16.6
Entreat,Arthur B. Davies,(American),(Male),Mezzotint,"plate: 5 15/16 í_4"" (15.1 í_10.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74405,15.1,10.1
Greek Robe,Arthur B. Davies,(American),(Male),Etching and aquatint,"plate: 11 15/16 í_7 15/16"" (30.3 í_20.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74416,30.3,20.2
Mirror of Illusion,Arthur B. Davies,(American),(Male),Drypoint,"plate: 6 5/16 í_8 7/16"" (16.1 í_21.5 cm); sheet: 8 15/16 í_11 9/16"" (22.7 í_29.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74419,16.1,21.5
Twelve Men,Arthur B. Davies,(American),(Male),Lithograph,"composition: 14 3/8 x 13 9/16"" (36.5 x 34.5cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74422,36.5,34.5
Nine Original Lithographs (Neuf lithographies originales),Arthur B. Davies,(American),(Male),Portfolio of nine lithographs,"Sheet 14 7/8 x 11"" (37.9 x 27.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,37.9,27.9
Hudson River Boat,Ernest Fiene,(American),(Male),Lithograph,"composition: 12 5/16 í_15 3/8"" (31.2 í_39 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74439,31.2,39
Along the Hudson,Ernest Fiene,(American),(Male),Lithograph,"composition (irreg.): 10 3/8 í_16 5/8"" (26.4 í_42.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74443,26.4,42.3
"Nude, Seated",Ernest Fiene,(American),(Male),Lithograph,"composition: 14 3/8 í_10 1/4"" (36.5 í_26 cm); sheet: 19 13/16 í_14 1/16"" (50.4 í_35.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74447,36.5,26
"Parc Montsouris, Paris",Ernest Fiene,(American),(Male),Lithograph,"composition (irreg.): 11 1/8 í_15 11/16"" (28.2 í_39.9 cm); sheet: 14 1/8 í_19 9/16"" (35.8 í_49.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74451,28.2,39.9
"Notre Dame, Paris",Ernest Fiene,(American),(Male),Lithograph,"composition (irreg.): 15 3/8 í_10 11/16"" (39 í_27.1 cm); sheet: 19 1/8 í_12 3/4"" (48.6 í_32.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74464,39,27.1
"Nude, Reclining",Ernest Fiene,(American),(Male),Lithograph,"composition (irreg.): 9 1/16 í_12 11/16"" (23 í_32.2 cm); sheet: 12 3/4 í_18 13/16"" (32.4 í_47.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74466,23,32.2
Nude on Sofa,Ernest Fiene,(American),(Male),Lithograph,"composition: 11 3/8 í_7 13/16"" (28.9 í_19.9 cm); sheet: 15 13/16 í_11 7/16"" (40.2 í_29.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74469,28.9,19.9
Rose,Ernest Fiene,(American),(Male),Lithograph with crayon additions,"composition (irreg.): 12 5/8 í_8 1/4"" (32 í_21 cm); sheet: 14 9/16 í_10 13/16"" (37 í_27.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74472,32,21
Washington Square I,Ernest Fiene,(American),(Male),Lithograph,"composition: 11 í_15 3/4"" (28 í_40 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74475,28,40
Brooklyn Bridge,Ernest Fiene,(American),(Male),Lithograph,"composition (irreg.): 17 1/2 í_13 5/8"" (44.5 í_34.6 cm); sheet: 22 1/2 í_17 15/16"" (57.2 í_45.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74478,44.5,34.6
Morning Workout,Vaughn Flannery,(American),(),Lithograph,"composition (irreg.): 12 3/16 í_8 3/4"" (31 í_22.2 cm); sheet: 16 í_12"" (40.6 í_30.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74481,31,22.2
"Milton Creek, Thanksgiving Day",Lauren Ford,(American),(Female),Etching,"plate: 6 7/8 í_8 7/8"" (17.5 í_22.5 cm); sheet: 10 9/16 í_11 5/16"" (26.8 í_28.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74484,17.5,22.5
Winter Landscape,Arnold Friedman,(American),(Male),Lithograph,"composition: 8 7/16 í_13 11/16"" (21.4 í_34.7 cm); sheet: 11 1/2 í_16"" (29.2 í_40.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74488,21.4,34.7
Summer,Arnold Friedman,(American),(Male),Lithograph,"composition  10 1/8 x 13 7/8"" (25.8 x 35.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,25.8,35.2
The Race Track,Arnold Friedman,(American),(Male),Lithograph,"composition  9 7/16 x 13 7/8"" (24 x 35.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,24,35.3
Mr. Rydaick's Castle,Ada V. Gabriel,(American),(Female),Lithograph,"composition (irreg.): 8 11/16 í_11 5/8"" (22 í_29.5 cm); sheet: 11 5/16 í_16"" (28.8 í_40.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74500,22,29.5
Spinning Wheel,Wanda Gíçg,(American),(Female),Lithograph,"composition: 7 7/8 x 10 1/16"" (20 x 25.6 cm); sheet: 11 9/16 í_15 7/8"" (29.3 í_40.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74504,20,25.6
Grandma's Kitchen,Wanda Gíçg,(American),(Female),Lithograph,"composition: 10 9/16 x 15 13/16"" (26.8 x 40.2 cm); sheet: 13 5/16 í_18 15/16"" (33.8 í_48.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74508,26.8,40.2
Stone Crusher,Wanda Gíçg,(American),(Female),Lithograph,"composition: 14 1/2 x 11 7/16"" (36.8 x 29 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74512,36.8,29
Lamplight,Wanda Gíçg,(American),(Female),Lithograph,"composition: 10 13/16 x 8 7/16"" (27.4 x 21.4 cm); sheet: 15 13/16 x 11 5/8"" (40.2 x 29.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74516,27.4,21.4
Evening,Wanda Gíçg,(American),(Female),Lithograph,"composition: 8 1/8 x 11 7/8"" (20.6 x 30.2 cm); sheet: 11 9/16 x 15 7/8"" (29.4 x 40.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74520,20.6,30.2
Backyard Corner,Wanda Gíçg,(American),(Female),Lithograph,"composition: 10 7/16 x 12 15/16"" (26.5 x 32.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74524,26.5,32.9
Grandma's Parlor,Wanda Gíçg,(American),(Female),Lithograph,"composition: 10 1/2 x 13 1/8"" (26.7 x 33.3 cm); sheet (irreg.): 13 13/16 í_17 5/8"" (35.1 í_44.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74528,26.7,33.3
"Cats at the Window, State VI",Wanda Gíçg,(American),(Female),Wood engraving,"composition: 2 7/8 x 3 3/4"" (7.3 x 9.6 cm); sheet: 8 1/4 x 7 1/2"" (21 x 19 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74532,7.3,9.6
Uncle Frank's Workshop,Wanda Gíçg,(American),(Female),Lithograph,"composition: 13 x 9 1/8"" (33 x 23.1 cm); sheet: 15 7/8 í_11 1/2"" (40.4 í_29.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74552,33,23.1
Forge,Wanda Gíçg,(American),(Female),Lithograph,"composition: 11 7/16 x 13 13/16"" (29.1 x 35.1 cm); sheet: 13 3/4 í_18 1/4"" (34.9 í_46.3 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74556,29.1,35.1
Spring on the Hillside,Wanda Gíçg,(American),(Female),Lithograph,"composition: 9 1/16 x 11 13/16"" (23 x 30 cm); sheet: 11 9/16 í_15 7/8"" (29.3 í_40.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74559,23,30
Winter Garden,Wanda Gíçg,(American),(Female),Lithograph,"composition: 10 x 8 5/16"" (25.4 x 21.1 cm); sheet: 15 13/16 í_11 9/16"" (40.2 í_29.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74573,25.4,21.1
Two Peasant Girls,Emil Ganso,(American),(Male),Etching,"Plate 9 7/8 x 11 15/16"" (25.0 x 30.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,,25,30.4
Halberstadt,Emil Ganso,(American),(Male),Etching and aquatint with roulette,"plate: 9 15/16 í_7 1/16"" (25.3 í_18 cm); sheet: 16 9/16 í_13"" (42 í_33 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74593,25.3,18
Boat Landing,Emil Ganso,(American),(Male),Lithograph,,Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74597,,
Salzwedel,Emil Ganso,(American),(Male),Aquatint with drypoint,"plate: 9 í_11 1/4"" (22.8 í_28.5 cm); sheet: 11 13/16 í_15 1/2"" (30 í_39.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74601,22.8,28.5
Self Portrait (No. 2),Emil Ganso,(American),(Male),Etching and drypoint,"composition: 6 15/16 í_5 7/16"" (17.6 í_13.8 cm); sheet: 13 í_9 3/4"" (33 í_24.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74605,17.6,13.8
Road to Saugerties,Emil Ganso,(American),(Male),Etching and aquatint,"plate: 8 7/8 í_10 7/8"" (22.6 í_27.6 cm); sheet: 11 9/16 í_15 11/16"" (29.3 í_39.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74609,22.6,27.6
Silo in Winter,Emil Ganso,(American),(Male),Etching and aquatint,"plate: 8 3/4 x 10 15/16"" (22.3 x 27.8 cm); sheet: 12 5/16 í_14 13/16"" (31.2 í_37.7 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74623,22.3,27.8
Still Life with Bottle,Emil Ganso,(American),(Male),Wood engraving,"composition: 12 1/16 í_10 1/16"" (30.6 í_25.5 cm); sheet (irreg.): 16 3/8 í_13 7/16"" (41.6 í_34.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74627,30.6,25.5
Nude Reclining,Emil Ganso,(American),(Male),Lithograph,"composition (irreg.): 13 11/16 í_18"" (34.8 í_45.7 cm); sheet: 14 15/16 í_19 1/4"" (37.9 í_48.9 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74631,34.8,45.7
Girl in Bath,Emil Ganso,(American),(Male),"Etching, aquatint, and drypoint with roulette",,Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74635,,
Self Portrait with Model,Emil Ganso,(American),(Male),Wood engraving,"composition: 9 13/16 í_7 15/16"" (25 í_20.2 cm); sheet: 14 9/16 í_10 13/16"" (37 í_27.5 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74639,25,20.2
Studio,Emil Ganso,(American),(Male),Etching and drypoint,"plate: 6 3/16 í_7 7/16"" (15.7 í_18.9 cm); sheet: 10 3/8 í_14"" (26.4 í_35.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74643,15.7,18.9
Bathers,Emil Ganso,(American),(Male),Lithograph,"composition (irreg.): 12 9/16 í_12 1/16"" (31.9 í_30.6 cm); sheet: 14 11/16 í_13 1/8"" (37.3 í_33.4 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74647,31.9,30.6
"Cafí_au Rendez-vous, Quincy-Sí_y (Seine-et-Marne, France)",Emil Ganso,(American),(Male),Etching and aquatint with roulette,"plate: 8 15/16 í_11 1/2"" (22.7 í_29.2 cm); sheet: 14 13/16 í_22 1/16"" (37.7 í_56 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74651,22.7,29.2
"Quincy-Sí_y, Winter",Emil Ganso,(American),(Male),"Aquatint, etching, and drypoint with roulette","plate: 7 13/16 x 9 11/16"" (19.8 x 24.6 cm); sheet: 12 3/16 í_16 5/8"" (30.9 í_42.2 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74663,19.8,24.6
Paris Night,Emil Ganso,(American),(Male),"Etching, aquatint, engraving, and drypoint with roulette","plate: 14 15/16 í_11 1/4"" (37.9 í_28.5 cm); sheet: 20 1/16 í_14 7/8"" (50.9 í_37.8 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74667,37.9,28.5
Still Life with Cranach Painting,Emil Ganso,(American),(Male),Etching with roulette,"plate: 11 7/8 í_9 15/16"" (30.1 í_25.2 cm); sheet: 15 7/8 í_12 5/8"" (40.4 í_32.1 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74671,30.1,25.2
Sunny Room,Emil Ganso,(American),(Male),Lithograph,"composition (irreg.): 8 3/8 í_10"" (21.3 í_25.4 cm); sheet: 11 9/16 í_14"" (29.4 í_35.6 cm)",Gift of Abby Aldrich Rockefeller,Print,4/5/40,http://www.moma.org/collection/works/74675,21.3,25.4
