Title,Artist,ConstituentID,ArtistBio,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm)
Paris,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"7 1/2 x 11 5/16"" (19.1 x 28.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55143,,,19.1,28.7
Paris,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"7 9/16 x 11 5/16"" (19.2 x 28.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55153,,,19.2,28.7
"Cairo, Egypt",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"7 9/16 x 11 5/16"" (19.2 x 28.7 cm)",Purchase,Photograph,Photography,10/12/00,Y,55164,http://www.moma.org/collection/works/55164,http://www.moma.org/media/W1siZiIsIjgyMzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=2038b9b1ec00c978,19.2,28.7
"Yoshino, Japan",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"7 9/16 x 11 1/4"" (19.2 x 28.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55175,,,19.2,28.6
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"7 11/16 x 11 1/4"" (19.5 x 28.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55185,,,19.5,28.6
Scotland,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 3/8 x 8 1/4"" (31.5 x 20.9 cm)",Purchase,Photograph,Photography,10/12/00,N,55195,,,31.5,20.9
France,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 3/8 x 8 1/4"" (31.5 x 21 cm)",Purchase,Photograph,Photography,10/12/00,N,55205,,,31.5,21
Banff,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/4 x 12 3/8"" (21 x 31.5 cm)",Purchase,Photograph,Photography,10/12/00,N,55214,,,21,31.5
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/4 x 12 3/8"" (21 x 31.5 cm)",Purchase,Photograph,Photography,10/12/00,N,55225,,,21,31.5
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/4 x 12 3/8"" (21 x 31.5 cm)",Purchase,Photograph,Photography,10/12/00,Y,55236,http://www.moma.org/collection/works/55236,http://www.moma.org/media/W1siZiIsIjgyOTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f9012e58d4250596,21,31.5
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/4 x 12 3/8"" (21 x 31.4 cm)",Purchase,Photograph,Photography,10/12/00,Y,55248,http://www.moma.org/collection/works/55248,http://www.moma.org/media/W1siZiIsIjgyOTkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=c7e113ac24baa5f7,21,31.4
Japan,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/4 x 12 3/8"" (21 x 31.5 cm)",Purchase,Photograph,Photography,10/12/00,Y,55258,http://www.moma.org/collection/works/55258,http://www.moma.org/media/W1siZiIsIjgzMDgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a60ff48b52379fca,21,31.5
"Kyoto, Japan",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/4 x 12 3/8"" (21 x 31.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55268,,,21,31.4
"Kobe, Japan",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 3/8 x 8 1/4"" (31.4 x 21 cm)",Purchase,Photograph,Photography,10/12/00,N,55278,,,31.4,21
"Santa Barbara, California",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/4 x 12 3/8"" (20.9 x 31.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55288,,,20.9,31.4
New Orleans,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 3/8 x 8 3/16"" (31.4 x 20.8 cm)",Purchase,Photograph,Photography,10/12/00,Y,55298,http://www.moma.org/collection/works/55298,http://www.moma.org/media/W1siZiIsIjgzNDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=e7075223ec8d9dc3,31.4,20.8
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 3/16 x 8 1/8"" (30.9 x 20.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55308,,,30.9,20.7
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 x 8"" (30.5 x 20.3 cm)",Purchase,Photograph,Photography,10/12/00,Y,55318,http://www.moma.org/collection/works/55318,http://www.moma.org/media/W1siZiIsIjgzNjMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4b3d96ab78b00008,30.5,20.3
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 x 8"" (30.5 x 20.3 cm)",Purchase,Photograph,Photography,10/12/00,N,55328,,,30.5,20.3
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 x 12"" (20.3 x 30.5 cm)",Purchase,Photograph,Photography,10/12/00,N,55338,,,20.3,30.5
Venice,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 1/16 x 8 1/16"" (30.6 x 20.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55348,,,30.6,20.4
Venice,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 12 1/16"" (20.4 x 30.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55357,,,20.4,30.6
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 12 1/16"" (20.4 x 30.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55366,,,20.4,30.6
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 12 1/16"" (20.4 x 30.6 cm)",Purchase,Photograph,Photography,10/12/00,Y,55374,http://www.moma.org/collection/works/55374,http://www.moma.org/media/W1siZiIsIjg0MjYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=20a7273158b02a23,20.4,30.6
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 x 8 1/16"" (30.5 x 20.4 cm)",Purchase,Photograph,Photography,10/12/00,Y,55382,http://www.moma.org/collection/works/55382,http://www.moma.org/media/W1siZiIsIjg0MzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4c395259546acf1a,30.5,20.4
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 11 15/16"" (20.4 x 30.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55390,,,20.4,30.4
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 x 8 1/16"" (30.5 x 20.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55398,,,30.5,20.4
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 12 1/16"" (20.4 x 30.7 cm)",Purchase,Photograph,Photography,10/12/00,Y,55406,http://www.moma.org/collection/works/55406,http://www.moma.org/media/W1siZiIsIjIxMjIyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1e10af0eb01ece8f,20.4,30.7
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 1/16 x 8 1/16"" (30.6 x 20.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55414,,,30.6,20.4
Rochester,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.8 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55422,,,21.8,32.7
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 11/16 x 12 7/8"" (22 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55430,,,22,32.7
(rows of cars in outdoor parking lot),Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 7/16 x 5 9/16"" (21.5 x 14.2 cm)",Purchase,Photograph,Photography,10/12/00,N,55438,,,21.5,14.2
"(woman with police cap on head, holding child, standing in group)",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"5 13/16 x 8 3/4"" (14.8 x 22.3 cm)",Purchase,Photograph,Photography,10/12/00,N,55446,,,14.8,22.3
"(statue of Abraham Lincoln, group in foreground)",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 13/16 x 5 11/16"" (22.4 x 14.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55454,,,22.4,14.4
Nashville,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"7 1/4 x 5 5/16"" (18.4 x 13.5 cm)",Purchase,Photograph,Photography,10/12/00,N,55461,,,18.4,13.5
Ft. Lee,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"9 11/16 x 6 3/4"" (24.6 x 17.1 cm)",Purchase,Photograph,Photography,10/12/00,N,55469,,,24.6,17.1
(men's suits in store window),Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"4 7/8 x 7 5/16"" (12.4 x 18.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55476,,,12.4,18.6
(close-up of woman in fur stole among crowd),Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,,Purchase,Photograph,Photography,10/12/00,N,55484,,,,
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"6 5/16 x 8 11/16"" (16 x 22 cm)",Purchase,Photograph,Photography,10/12/00,N,55492,,,16,22
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 15/16 x 8 9/16"" (32.8 x 21.8 cm)",Purchase,Photograph,Photography,10/12/00,N,55499,,,32.8,21.8
"Tucson, Arizona",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 7/8 x 8 9/16"" (32.7 x 21.8 cm)",Purchase,Photograph,Photography,10/12/00,N,55507,,,32.7,21.8
"The Museum of Modern Art, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.8 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55515,,,21.8,32.7
"Memphis, Tennessee",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,Y,55523,http://www.moma.org/collection/works/55523,http://www.moma.org/media/W1siZiIsIjE0OTU2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e0e8f4e9f2251ee,21.7,32.7
"Philadelphia, Pennsylvania",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55531,,,21.7,32.6
Canada,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55539,,,21.7,32.6
"The Museum of Modern Art, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.8 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55546,,,21.8,32.6
"Lake Louise, Canada",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 13/16 x 8 9/16"" (32.6 x 21.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55553,,,32.6,21.7
"Ajo, Arizona",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55559,,,21.7,32.6
Florida,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55565,,,21.7,32.6
Arizona,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55571,,,21.7,32.6
"Memphis, Tennessee",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 13/16 x 8 9/16"" (32.6 x 21.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55577,,,32.6,21.7
"Chiracowa Mountains, Arizona",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55583,,,21.7,32.6
"Raoul Hague's Studio, Woodstock, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55590,,,21.7,32.6
"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,Y,55596,http://www.moma.org/collection/works/55596,http://www.moma.org/media/W1siZiIsIjE0OTU3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=abb422a0da329cf4,21.7,32.6
"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55602,,,21.7,32.6
"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 13/16"" (21.7 x 32.6 cm)",Purchase,Photograph,Photography,10/12/00,Y,55608,http://www.moma.org/collection/works/55608,http://www.moma.org/media/W1siZiIsIjE0OTU3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=71e456cc6b3fc63b,21.7,32.6
"Piron-Williams Band. New Orleans, Louisana",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"6 5/16 x 9 5/8"" (16.1 x 24.5 cm)",Purchase,Photograph,Photography,10/12/00,N,55614,,,16.1,24.5
"Young Tuxedo Brass Band. New Orleans, Louisana",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 x 8 1/16"" (20.3 x 20.5 cm)",Purchase,Photograph,Photography,10/12/00,N,55620,,,20.3,20.5
"Grassy Creek, North Carolina",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 15/16 x 8 9/16"" (32.8 x 21.8 cm)",Purchase,Photograph,Photography,10/12/00,N,55626,,,32.8,21.8
Utah,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55632,,,21.7,32.7
Arizona,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.8 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55638,,,21.8,32.7
Arizona,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.8 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55644,,,21.8,32.7
London,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55650,,,21.7,32.7
"Memphis, Tennessee",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55655,,,21.7,32.7
London,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55660,,,21.7,32.7
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55665,,,21.7,32.7
"The Museum of Modern Art, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.8 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55670,,,21.8,32.7
"Oakland, California",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.8 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55675,,,21.8,32.7
"Zermatt, Switzerland",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55680,,,21.7,32.7
"Raoul Hague's Studio, Woodstock, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55686,,,21.7,32.7
"Zermatt, Switzerland",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55692,,,21.7,32.7
Florida,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55698,,,21.7,32.7
Grand Canyon,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55704,,,21.7,32.7
France,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55710,,,21.7,32.7
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 7/8 x 8 9/16"" (32.7 x 21.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55716,,,32.7,21.7
New York State,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 7/8 x 8 9/16"" (32.7 x 21.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55722,,,32.7,21.7
"Steen Mountains, Oregon",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55728,,,21.7,32.7
Egypt,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55749,,,21.7,32.7
"Philadelphia, Pennsylvania",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 7/8 x 8 9/16"" (32.7 x 21.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55756,,,32.7,21.7
Bryce Canyon,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55763,,,21.7,32.7
"The Laguna Reservation, New Mexico, Laguna, New Mexico",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55770,,,21.7,32.7
Bryce Canyon,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 15/16"" (21.7 x 32.8 cm)",Purchase,Photograph,Photography,10/12/00,N,55777,,,21.7,32.8
William Christenberry.  Alabama,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 15/16"" (21.7 x 32.8 cm)",Purchase,Photograph,Photography,10/12/00,N,55784,,,21.7,32.8
"Florence, Italy",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 15/16 x 8 9/16"" (32.8 x 21.8 cm)",Purchase,Photograph,Photography,10/12/00,N,55791,,,32.8,21.8
"Newport, Rhode Island",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 7/8 x 8 9/16"" (32.7 x 21.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55798,,,32.7,21.7
"Raoul Hague's Studio. Woodstock, New York",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,Y,55804,http://www.moma.org/collection/works/55804,http://www.moma.org/media/W1siZiIsIjg5NDkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=b3a6f2fef3b0452a,21.7,32.7
Indonesia,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 15/16"" (21.7 x 32.8 cm)",Purchase,Photograph,Photography,10/12/00,N,55810,,,21.7,32.8
"Steen Mountains, Oregon",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55816,,,21.7,32.7
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 7/8"" (21.7 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55822,,,21.7,32.7
"Bali, Indonesia",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 9/16 x 12 15/16"" (21.7 x 32.8 cm)",Purchase,Photograph,Photography,10/12/00,Y,55828,http://www.moma.org/collection/works/55828,http://www.moma.org/media/W1siZiIsIjg5NzUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a0a3933e0273811b,21.7,32.8
Egypt,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 12 1/16"" (20.5 x 30.6 cm)",Purchase,Photograph,Photography,10/12/00,N,55834,,,20.5,30.6
"Seattle, Washington",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/2 x 12 7/8"" (21.6 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55840,,,21.6,32.7
Cascade Mountains,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/2 x 12 7/8"" (21.6 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55846,,,21.6,32.7
"Hoods Canal, Wisconsin",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/2 x 12 7/8"" (21.6 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55852,,,21.6,32.7
"Near Mount Rainier, Washington",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/2 x 12 7/8"" (21.6 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55858,,,21.6,32.7
"Cambridge, Massachusetts",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/2 x 12 7/8"" (21.6 x 32.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55864,,,21.6,32.7
New York City,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 12 1/16"" (20.4 x 30.7 cm)",Purchase,Photograph,Photography,10/12/00,N,55870,,,20.4,30.7
"Rice Lake, Wisconsin",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 1/16 x 8 1/16"" (30.7 x 20.4 cm)",Purchase,Photograph,Photography,10/12/00,N,55876,,,30.7,20.4
Count Basie Band,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 5/8 x 12 15/16"" (21.9 x 32.8 cm)",Purchase,Photograph,Photography,10/12/00,Y,55882,http://www.moma.org/collection/works/55882,http://www.moma.org/media/W1siZiIsIjQ0NDk3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cf6bf0645ca8b8b4,21.9,32.8
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"12 x 8 1/16"" (30.5 x 20.4 cm)",Purchase,Photograph,Photography,10/12/00,Y,55888,http://www.moma.org/collection/works/55888,http://www.moma.org/media/W1siZiIsIjkwNjMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ddaf453bfacc77f7,30.5,20.4
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"8 1/16 x 12"" (20.5 x 30.5 cm)",Purchase,Photograph,Photography,10/12/00,N,55893,,,20.5,30.5
"Philadelphia, Pennsylvania",Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"4 5/8 x 7 1/8"" (11.8 x 18.1 cm)",Purchase,Photograph,Photography,10/12/00,Y,55897,http://www.moma.org/collection/works/55897,http://www.moma.org/media/W1siZiIsIjE0OTU4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=64aefdabfe4eae42,11.8,18.1
Minnesota,Lee Friedlander,2002,"(American, born 1934)",(American),(Male),Gelatin silver print,"5 15/16 x 9"" (15.1 x 22.8 cm)",Purchase,Photograph,Photography,10/12/00,Y,55902,http://www.moma.org/collection/works/55902,http://www.moma.org/media/W1siZiIsIjE0OTU4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5c5e4d892e1bc652,15.1,22.8
