Title,Artist,ConstituentID,ArtistBio,Nationality,Gender,Medium,Dimensions,CreditLine,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Height (cm),Width (cm)
"Hadassah University Medical Center, Mount Scopus, Jerusalem, View of hospital, north west corner: ""From the National Library""",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),"Tempera, graphite, and color pencil on print","21 1/4 x 22 3/4"" (54 x 57.8 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,198,http://www.moma.org/collection/works/198,http://www.moma.org/media/W1siZiIsIjE4NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=17371a2ce16ffcad,64,38
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Exterior perspective",Erich Mendelsohn,8219,"(American, born Germany (now Poland). 1887‰Û_953)",(American),(Male),"Tempera, graphite, and color pencil on print","21 1/2 x 24"" (54.6 x 61 cm)",Gift of Milton Scheingarten,Architecture,Architecture & Design,1/19/00,Y,199,http://www.moma.org/collection/works/199,http://www.moma.org/media/W1siZiIsIjU5NTkyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=34f97f3e1f2c9c30,54.6101,60.9601
"The House with Curtains Project, Perspective",Raimund Abraham,47,"(American, born Austria. 1933‰Û_010)",(American),(Male),Crayon and graphite on paper,"36 1/8 x 56 3/4"" (91.8 x 144.1 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,791,http://www.moma.org/collection/works/791,http://www.moma.org/media/W1siZiIsIjExNDkwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=f9c161060bc0d2e2,97.2,149.5
"Grand Rapids Art Museum, project, Grand Rapids, Michigan, Perspective",Emilio Ambasz,141,"(Argentine, born 1943)",(Argentine),(Male),Cut-and-pasted sepia diazotype with color crayon on paper and airbrush,"30 x 40"" (76.2 x 101.6 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,793,http://www.moma.org/collection/works/793,http://www.moma.org/media/W1siZiIsIjExNDk1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e0c4484f884de31f,80.3,105.7
"Residential Park, No-Stop City project (Plan)",Andrea Branzi,8108,"(Italian, born 1938)",(Italian),(Male),"Ink, cut-and-pasted self-adhesive polymer sheet, and pressure-transferred printed film on tracing paper, taped to paper","39 1/4 x 27 3/8"" (99.7 x 69.5 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,794,http://www.moma.org/collection/works/794,http://www.moma.org/media/W1siZiIsIjExNDk3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=823f7e7121783bd0,105.1,74.9
"Plug-In City, project (Axonometric)",Peter Cook,6950,"(British, born 1936)",(British),(Male),Cut-and-pasted printed papers with graphite and clear and colored self-adhesive polymer sheets on gray paper-covered board with ink,"27 3/8 x 29 7/8"" (69.5 X 75.9 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,795,http://www.moma.org/collection/works/795,http://www.moma.org/media/W1siZiIsIjExNTAwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a6447c406fcace8b,69.5,75.9
"Plug-in City: Maximum Pressure Area, project (Section)",Peter Cook,6950,"(British, born 1936)",(British),(Male),Ink and graphite on tracing paper with masking tape,"21 3/4 x 45 5/8"" (55.2 x 115.9 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,796,http://www.moma.org/collection/works/796,http://www.moma.org/media/W1siZiIsIjExNTAyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=f0cf65466bdb209d,55.2,115.9
"Plug-in City: Maximum Pressure Area, project (Section)",Peter Cook,6950,"(British, born 1936)",(British),(Male),Ink and gouache on photomechanical print,"32 7/8 x 57 11/16"" (83.5 x 146.5 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,797,http://www.moma.org/collection/works/797,http://www.moma.org/media/W1siZiIsIjExNTA0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=448ba70b4d3032d1,94.6,156.8
"Plug-in University Node, project (Elevation)",Peter Cook,6950,"(British, born 1936)",(British),(Male),Watercolor on photolithograph,"26 1/8 x 34 1/2"" (66.4 x 87.6 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,798,http://www.moma.org/collection/works/798,http://www.moma.org/media/W1siZiIsIjExNTA4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fbe4f7fe44e927dd,83.2,103.5
"House IV Project, Falls Village, Connecticut (Axonometrics)",Peter Eisenman,6969,"(American, born 1932)",(American),(Male),Ink on frosted polymer sheet,"14 x 46 3/4"" (35.6 x 118.7 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,799,http://www.moma.org/collection/works/799,http://www.moma.org/media/W1siZiIsIjExNTEwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=c330af720697bad9,49.5,128.6
"Spatial City, project, Aerial perspective",Yona Friedman,8109,"(French, born Hungary 1923)",(French),(Male),Ink on tracing paper,"8 3/8 x 10 3/4"" (21.3 x 27.3 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,800,http://www.moma.org/collection/works/800,http://www.moma.org/media/W1siZiIsIjExNTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fb09cf20596b968b,21.3,27.3
"African Proposals, project, Perspective",Yona Friedman,8109,"(French, born Hungary 1923)",(French),(Male),Ink and watercolor on tracing paper,"19 x 25 3/8"" (48.3 x 64.5 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,802,http://www.moma.org/collection/works/802,http://www.moma.org/media/W1siZiIsIjExNTE3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8d8e24849efad5e3,48.3,64.5
"A Minimum Dymaxion Home, project, Elevation, axonometric, and plan",R. Buckminster Fuller,2030,"(American, 1895‰Û_983)",(American),(Male),Graphite on paper,"32 7/8 x 19"" (83.5 x 48.3 cm)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,804,http://www.moma.org/collection/works/804,http://www.moma.org/media/W1siZiIsIjExNTIyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=6ce5e797d51fe71b,83.5,48.3
"Dymaxion House, project (Plan)",R. Buckminster Fuller,2030,"(American, 1895‰Û_983)",(American),(Male),"Pencil, watercolor, and metallic ink on tracing paper","10 3/4 x 10"" (27.3 x 25.4 cm) (irreg.)",Gift of The Howard Gilman Foundation,Architecture,Architecture & Design,10/31/00,Y,805,http://www.moma.org/collection/works/805,http://www.moma.org/media/W1siZiIsIjQ0MDA0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8637ae5f367d40e2,27.3051,25.4001
